,Title,Location,Security,Garage,Concierge,Description,Price
0,Appartement avec vue mer depuis toutes les pièces,"Centre à
				Tanger",0,0,0,"95
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//5-10 ans//1er
					étage//95
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//5-10 ans//1er
					étage//",2 200 000 DH
1,A vendre bel appart avec jardin et piscine,"Du Golf à
				Tanger",0,0,0,"130
					m²//5 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//130
					m²//5 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//",
2,"Studio de 43m² en vente, Résidence Panama","Malabata à
				Tanger",1,0,0,"43
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//43
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//Moyen standing//Finalisé//",602 000 DH
3,Appartement de 94m² en vente Résidence Al Bahja,"Tanja Balia à
				Tanger",0,0,0,"94
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//1er
					étage//94
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//1er
					étage//Moyen standing//En cours de construction//",694 575 DH
4,"Appartement à Vendre à Nejma, Tanger","Centre à
				Tanger",0,0,0,"80
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//80
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//",
5,Appartement de 86m² en vente Résidence Borj Al Andalous,"Malabata à
				Tanger",0,0,0,"86
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//86
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//Haut standing//En cours de construction//",
6,Appartement de 110m² en vente Les Jardins de Mesnana Golf,"Mesnana à
				Tanger",0,0,0,"110
					m²//4 Pièces//3 Chambres//Nouveau//6ème
					étage//110
					m²//4 Pièces//3 Chambres//Nouveau//6ème
					étage//Moyen standing//En cours de construction//",1 112 000 DH
7,Appartement de 75m² en vente Les Jardins de Mesnana Golf,"Mesnana à
				Tanger",0,0,0,"75
					m²//3 Pièces//2 Chambres//Nouveau//75
					m²//3 Pièces//2 Chambres//Nouveau//Moyen standing//En cours de construction//",676 000 DH
8,,,0,0,0,,
9,Appartement avec terrasse et vue mer,"De La Plage à
				Tanger",0,0,0,"129
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//1-5 ans//129
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//1-5 ans//",2 750 000 DH
10,Magnifique duplex avec vue panoramique sur la baie,"Centre à
				Tanger",0,0,0,"223
					m²//3 Pièces//2 Chambres//3 Salles de bains//Bon état//5-10 ans//8ème
					étage//223
					m²//3 Pièces//2 Chambres//3 Salles de bains//Bon état//5-10 ans//8ème
					étage//",3 400 000 DH
11,Superbe appartement de 128m2 avec 3 chambres,"Marchan à
				Tanger",0,0,0,"128
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//128
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//",1 900 000 DH
12,"Appartement de 190 m² en vente Real Palm, Tanger","Du Golf à
				Tanger",0,0,0,"190
					m²//6 Pièces//3 Chambres//3 Salles de bains//Nouveau//1er
					étage//190
					m²//6 Pièces//3 Chambres//3 Salles de bains//Nouveau//1er
					étage//Haut standing//En cours de construction//Livraison:
							décembre 2019//",
13,"Appartement de 88m² en vente, Résidence Riad Zalga","Ahlane à
				Tanger",0,0,0,"70
					m²//4 Pièces//2 Chambres//1 Salle de bain//Nouveau//70
					m²//4 Pièces//2 Chambres//1 Salle de bain//Nouveau//Moyen standing//Finalisé//",580 000 DH
14,Appartement de 99m² en vente Résidence Borj Deyae,"Tanger City Center à
				Tanger",0,0,0,"99
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//99
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//Haut standing//Finalisé//",
15,Appartement de 178m² dont 39m² de terrasse en vente Résidence Borj Aya,"Castilla à
				Tanger",0,0,0,"178
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//178
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//Moyen standing//Finalisé//",
16,Appartement en vente à Ennasr. Surface totale 100 m². Terrasse et ascenseur,"Ennasr à
				Tanger",0,0,0,"100
					m²//5 Pièces//2 Chambres//2 Salles de bains//Bon état//4ème
					étage//100
					m²//5 Pièces//2 Chambres//2 Salles de bains//Bon état//4ème
					étage//",1 000 000 DH
17,Joli appartement en vente à BAYT SAHAFA,"Marjane à
				Tanger",0,0,0,"73
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//1-5 ans//4ème
					étage//73
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//1-5 ans//4ème
					étage//",780 000 DH
18,"Appartement de 124m² en vente, Résidence Marchan Hills","Marchan à
				Tanger",0,0,0,"124
					m²//4 Pièces//3 Chambres//2 Salles de bains//124
					m²//4 Pièces//3 Chambres//2 Salles de bains//Haut standing//Finalisé//",
19,Appartements moyens standing a vendre,"Mesnana à
				Tanger",0,0,0,"66
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//Moins d'un an//1er
					étage//66
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//Moins d'un an//1er
					étage//",550 000 DH
20,Appartement moyen standing,"Tanja Balia à
				Tanger",0,0,0,"58
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//Moins d'un an//3ème
					étage//58
					m²//3 Pièces//2 Chambres//1 Salle de bain//Nouveau//Moins d'un an//3ème
					étage//",403 000 DH
21,Appartement de 88m² en vente Complexe résidentiel Ibn Khaldoun,"Route Nationale Assilah (N1) à
				Tanger",0,0,0,"88
					m²//3 Pièces//2 Chambres//1 Salle de bain//88
					m²//3 Pièces//2 Chambres//1 Salle de bain//Moyen standing//Finalisé//",651 200 DH
22,Vente Appartement Tanger BOULEVARD Ref: VA335,"Centre à
				Tanger",0,0,0,"72
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//5-10 ans//2ème
					étage//72
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//5-10 ans//2ème
					étage//",1 240 000 DH
23,"Studio de 45m² en vente, Résidence Panama","Malabata à
				Tanger",1,0,0,"45
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//45
					m²//1 Pièce//1 Chambre//1 Salle de bain//Nouveau//Moyen standing//Finalisé//",630 000 DH
24,APPARTEMENT 190 m2 de 4 chambres au Boulvard,"Administratif à
				Tanger",0,0,0,"190
					m²//10 Pièces//4 Chambres//3 Salles de bains//À rénover//5-10 ans//7ème
					étage//190
					m²//10 Pièces//4 Chambres//3 Salles de bains//À rénover//5-10 ans//7ème
					étage//",11 000 DH
25,Ne pas rater votre appartement  duplex à vendre,"Route Nationale Assilah (N1) à
				Tanger",0,0,0,"136
					m²//8 Pièces//3 Chambres//2 Salles de bains//Nouveau//1-5 ans//4ème
					étage//136
					m²//8 Pièces//3 Chambres//2 Salles de bains//Nouveau//1-5 ans//4ème
					étage//",1 496 000 DH
26,Appartement Vide à La Vente Nejma Tanger,"Centre à
				Tanger",0,0,0,"144
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//144
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//",2 450 000 DH
27,Appartement de Luxe à La Vente Corniche Tanger,"De La Plage à
				Tanger",0,0,0,"105
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//1er
					étage//105
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//1er
					étage//",2 000 000 DH
28,Appartement à La Vente La wilaya Tanger,"Administratif à
				Tanger",0,0,1,"90
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//90
					m²//3 Pièces//2 Chambres//1 Salle de bain//Bon état//",1 220 000 DH
29,Appartement avecTerrasse à Vendre Mojahidin Tanger,"Moujahidine à
				Tanger",0,0,0,"257
					m²//6 Pièces//5 Chambres//2 Salles de bains//Bon état//257
					m²//6 Pièces//5 Chambres//2 Salles de bains//Bon état//",2 960 000 DH
